Qcount	Qval	Angsum
385	-1.92794	25.7091
386	-1.91521	25.6412
387	-1.90249	25.4633
388	-1.88977	25.6393
389	-1.87704	25.4876
390	-1.86432	25.5914
391	-1.85159	25.6
392	-1.83887	25.5663
393	-1.82615	25.6913
394	-1.81342	25.6854
395	-1.8007	25.6643
396	-1.78798	25.4969
397	-1.77525	25.497
398	-1.76253	25.5936
399	-1.74981	25.5564
400	-1.73708	25.493
401	-1.72436	25.4333
402	-1.71163	25.6134
403	-1.69891	25.6026
404	-1.68619	25.4187
405	-1.67346	25.5523
406	-1.66074	25.4866
407	-1.64802	25.4022
408	-1.63529	25.2967
409	-1.62257	25.4192
410	-1.60984	25.3703
411	-1.59712	25.3466
412	-1.5844	25.2545
413	-1.57167	25.2824
414	-1.55895	25.4199
415	-1.54623	25.2779
416	-1.5335	25.2792
417	-1.52078	25.3478
418	-1.50805	25.3625
419	-1.49533	25.3573
420	-1.48261	25.2571
421	-1.46988	25.225
422	-1.45716	25.2133
423	-1.44444	25.1971
424	-1.43171	25.0964
425	-1.41899	25.0564
426	-1.40626	25.0374
427	-1.39354	24.8897
428	-1.38082	25.1534
429	-1.36809	24.9905
430	-1.35537	24.9771
431	-1.34265	25.1307
432	-1.32992	24.9047
433	-1.3172	24.7325
434	-1.30447	24.7429
435	-1.29175	24.9345
436	-1.27903	24.8193
437	-1.2663	24.6149
438	-1.25358	24.9468
439	-1.24086	24.5835
440	-1.22813	24.7769
441	-1.21541	24.6265
442	-1.20268	24.8364
443	-1.18996	24.6884
444	-1.17724	24.5447
445	-1.16451	24.7692
446	-1.15179	24.4326
447	-1.13907	24.5129
448	-1.12634	24.3142
449	-1.11362	24.4973
450	-1.1009	24.3189
451	-1.08817	24.3419
452	-1.07545	24.2796
453	-1.06272	24.2075
454	-1.05	24.1235
455	-1.03728	24.1768
456	-1.02455	24.2039
457	-1.01183	24.2475
458	-0.999105	24.2538
459	-0.986382	24.1623
460	-0.973658	24.2169
461	-0.960934	23.9975
462	-0.94821	24.0006
463	-0.935487	23.9582
464	-0.922763	24.0749
465	-0.910039	23.8639
466	-0.897316	23.9049
467	-0.884592	23.9324
468	-0.871868	23.8482
469	-0.859144	23.9424
470	-0.846421	23.9319
471	-0.833697	23.751
472	-0.820973	23.7486
473	-0.808249	23.6633
474	-0.795526	23.7466
475	-0.782802	23.6108
476	-0.770078	23.9195
477	-0.757355	23.6862
478	-0.744631	23.833
479	-0.731907	23.5975
480	-0.719183	23.7166
481	-0.70646	23.7059
482	-0.693736	23.5979
483	-0.681012	23.4919
484	-0.668288	23.3662
485	-0.655565	23.5094
486	-0.642841	23.5992
487	-0.630117	23.4915
488	-0.617394	23.3967
489	-0.60467	23.2814
490	-0.591946	23.3824
491	-0.579222	23.4891
492	-0.566499	23.2487
493	-0.553775	23.3406
494	-0.541051	23.3275
495	-0.528327	23.1748
496	-0.515604	23.2286
497	-0.50288	23.228
498	-0.490156	23.1541
499	-0.477433	23.1152
500	-0.464709	23.047
